questionFormat,answerFormat
Does [COURSE] fulfill any GE requirements?,Yes or No
How many prerequisite classes are needed for me to take [COURSE]?,In order to take this course, a student would need to fulfill the [COURSE_PREREQS] prerequisites.
List classes below [COURSE].,[COURSE]*
List classes above [COURSE].,[COURSE]*
Does [COURSE] require any MATH classes?,Yes or No
Which classes have a [COURSE] prerequisite?,[COURSE]
Does [COURSE] require instructor approval?,Yes/No
Is [COURSE] being offered next quarter?,Yes/No.
Is [COURSE] a graduate level course?,Yes/No.
Is [COURSE] a undergraduate level course?,Yes/No.
Does [COURSE] have non-statistics prerequisites?,Yes/No.
Does [COURSE] have non-statistics and non-math prerequisites?,Yes/No.
Is [COURSE] part of the data science minor?,Yes/No.
What teachers teach [COURSE] this quarter?,[PROF]
What teachers have taught [COURSE] in the past?,[PROF]
Does [COURSE] require programming experience?,Yes/No.
When should [COURSE] be taken based on the stat flowchart?,[TERM_YEAR]
Are there sections for [COURSE] that are open next quarter?,Yes/No.
Who is the highest ranked teacher teaching [COURSE]?,[PROF]
Who is the lowest ranked teacher teaching [COURSE]?,[PROF]
What data science minor courses have [COURSE] as a prerequisite?,[COURSE]
Do I need [COURSE] to complete the data science minor?,Yes/No.
Is [COURSE] an upper level or lower level course?,Upper level/Lower level.
When was the last time [COURSE] was offered?,[QUARTER]
Is [COURSE] an upper level course?,Yes/No.
Is [COURSE] a lower level course?,Yes/No.
When should I take [COURSE]?,This years flowchart can be found here: [MMC-FLOWCHART-LINK], other years can be found here: [MMC-FLOWCHART-LINK].
What is [COURSE]?,[TEXT]
When is [COURSE] typically offered?,[QUARTER]
How many units is [COURSE]?,[COURSE_UNITS]
Does the department offer [COURSE].,Yes/No.
What class is [COURSE]?,[COURSE_DESCRIPTION].
What will I learn in [COURSE]?,[COURSE_DESCRIPTION].
Is there a class on [COURSE]?.,Yes, the class is [COURSE]./No.
What class is [COURSE]?,[COURSE_NUMBER].
What is the name of [COURSE]?,[COURSE_NAME].
How many units is [COURSE]?,[COURSE_UNITS] units.
Are there any workshops or study sessions available for [COURSE]?,Refer to the [AREA] bot.
What are the prerequisites for [COURSE]?,The prerequisites for [COURSE] are [COURSE-PREREQS].
What courses are needed to take [COURSE]?,The prerequisites for [COURSE] are [COURSE-PREREQS].
How many units is [COURSE]?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is worth [COURSE-UNITS].
How much credits is [COURSE] worth?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is worth [NUM-UNITS].
When is [COURSE] offered?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is typically offered in [QUARTER].
What is the number for [COURSE]?,The number for [COURSE-NAME] is [DEPARTMENT-NAME] [COURSE-NUM].
What courses have [COURSE] as a prerequisite?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is a prerequisite for [DEPARTMENT-NAME] [COURSE-NUM]...
What comes after [COURSE]?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is a prerequisite for [DEPARTMENT-NAME] [COURSE-NUM]...
What is the description for [COURSE]?,The description of [DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is [COURSE-DESC].
Who should I take [COURSE] with?,Based on PolyRatings, [PROF] is the best professor for this course with a score of [POLY-SCORE]
Who typically teaches [COURSE]?,The following professors have taught [COURSE]: [PROF]...
Does [COURSE] have any non CS/SE prerequisites?,Yes. They are [DEPARTMENT-NAME] [COURSE-NUM]... / No
Does [COURSE] have a lab?,Yes it is [COURSE-UNITS] units/No
Is [COURSE] offered on a Credit/No Credit basis?,Yes/No
Is there a grade prerequesite for [COURSE]?,Yes, it is a C- or better in [DEPARTMENT-NAME] [COURSE-NUM]
Does [COURSE] have any corequisites?,Yes, they are [DEPARTMENT-NAME] [COURSE-NUM]...
Does [COURSE] have any concurrent enrollements?,Yes, they are [DEPARTMENT-NAME] [COURSE-NUM]...
How is [COURSE] listed?,The number for [COURSE-NAME] is [DEPARTMENT-NAME] [COURSE-NUM].
Who is the best professor for [COURSE] with?,Based on PolyRatings, [PROF] is the best professor for this course with a score of [POLY-SCORE]
Which professors have taught [COURSE]?,The following professors have taught [COURSE]: [PROF]...
Which quarter is [COURSE] typically offered?,[COURSE-NAME] is typically offered in [TERMS]
Does [COURSE] have a prerequisite from another department?,If yes: Yes, [COURSE-NAME] has prerequisites from [DEPARTMENTS]
What course number does [COURSE] have?,[COURSE-NAME] has number [COURSE-NUMBER]
What course name does [COURSE] have?,[COURSE-NUM] has name [COURSE-NAME]
How many units of lab does [COURSE] have?,[COURSE-NAME] has [COURSE-UNITS] units
Are there any recommended classes for [COURSE]?,if yes: Yes, they are [COURSE-NAMES]
Does [COURSE] require consent of instructor?,Yes/No
Is [COURSE] crosslisted?,if yes: Yes, it is crosslisted as [DEPARTMENT-NAME][COURSE-NUM]
Which departments does [COURSE] have prerequisites in?,[COURSE-NAME] have prerequisites in these departments: [DEPARTMENTS]
Does [COURSE] fulfill any GE requirements?,If yes: [COURSE-NAME] fulfills GE requirement [GE-AREA]
On what level is [COURSE]?,[COURSE-NAME] is on level [LEVEL]
Which courses require [COURSE],The following courses require [COURSE-NAME]: [DEPARTMENT-NAME][COURSE-NUM][COURSE-NAME]...
Who is the best professor to take for [COURSE]?,[PROF] has the highest PolyRating - [Rating] - of all professors that teach [COURSE].
Who should I take [COURSE] with?,[PROF] has the highest PolyRating - [Rating] - of all professors that teach [COURSE].
Who teaches [COURSE]?,The next professors teaching [COURSE] are [PROF-List].
Who is usually the professor for [COURSE]?,Recently, [COURSE] has been taught by [PROF-List].
Who has taught [COURSE] in the past?,[PROF-List] have taught [COURSE].
What is the highest rated polyrating professor for [COURSE]?,[PROF] is the highest rated professor for [Course].
What is the highest rated polyrating professor that is currently teaching [COURSE]?,[PROF] is the highest rated professor currently teaching [Course].
What is the highest rated polyrating professor that taught [COURSE] last quarter?,[PROF] is the highest rated professor that taught [Course] last quarter.
What is the highest rated polyrating professor that is scheduled to teach [COURSE] next quarter?,[PROF] is the highest rated professor that teaching [Course] next quarter.
What is the lowest rated polyrating professor for [COURSE]?,[PROF] is the lowest rated professor for [Course].
What is the lowest rated polyrating professor that is currently teaching [COURSE]?,[PROF] is the lowest rated professor currently teaching [Course].
What is the lowest rated polyrating professor that taught [COURSE] last quarter?,[PROF] is the lowest rated professor that taught [Course] last quarter.
What is the lowest rated polyrating professor that is scheduled to teach [COURSE] next quarter?,[PROF] is the lowest rated professor that teaching [Course] next quarter.
How many professors teach [COURSE]?,[N] instructors teach [Course].
Which professors teach [COURSE]?,[PROF] teach [Course].
What professor(s) typically teach [COURSE]?,[PROF] typically teach [Course].
What professor(s) teach [COURSE] this quarter?,[PROF] are teaching [Course] this quarter.
Which professors are teaching [COURSE] next quarter?,[PROF] are teaching [Course] next quarter.
Who are the professors teaching [COURSE] next quarter?,[PROF] are teaching [Course] next quarter.
Can I get tutoring in [COURSE]?,[STATTUTCONF].
Is tutoring available for [COURSE]?,[STATTUTCONF].
Is tutoring provided for [COURSE]?,[STATTUTCONF]
During Stat tutoring, can I get help with [COURSE],[STATTUTCONF]
What courses is [PROF] teaching this quarter?,This quarter, [PROF] is teaching [COURSE].
What courses is [PROF] teaching next quarter?,Next quarter, [PROF] is teaching [COURSE].
What is [PROF] schedule like this quarter?,[PROF] will be teaching [COURSE] at [COURSE-TIME] this quarter.
What is [PROF] schedule like next quarter?,[PROF] will be teach [COURSE] at [COURSE-TIME] this next quarter.
How many courses is [PROF] teaching?,[PROF] is teaching [PROF_COURSE_COUNT] classes.
What are [PROF]'s research areas?,[PROF]s research areas are [PROF_RESEARCH_AREAS].
How many research areas does [PROF] have?,[PROF]s research areas are [PROF_RESEARCH_AREAS].
How many proposals has [PROF] written at Cal Poly?,[PROF] was written [PROF_PROPOSALS] at Cal Poly.
Does [PROF] have a website?,Yes or No
What is [PROF]'s website?, [PROF]'s website is [PROF_WEBSITE].
Where can I learn more about [PROF]?, [PROF]'s website is [PROF_WEBSITE].
Does [PROF] have a Cal Poly website?, Yes or No
What classes does [PROF] teach?,[PROF] teaches the following classes: [PROF-COURSES].
What buildings does [PROF] teach in?,[PROF] teaches in [LOCATION].
What time are all [PROF]'s classes taught?,[PROF] teaches at [COURSE_TIMES].
What classes are [PROF] teaching next quarter?,[PROF] is teaching [COURSE] next quarter.
When are [PROF]'s office hours?,[PROF]s office hours are [PROF_OFFICE_TIMES].
Does [PROF] have office hours right now?,[yes/no] [PROF]s office hours are [PROF_OFFICE_TIMES].
Does [PROF] have office hours later today?,[yes/no] [PROF]s office hours are [PROF_OFFICE_TIMES].
Does [PROF] have office hours tomorrow?,[yes/no] [PROF]s office hours are [PROF_OFFICE_TIMES].
Where is [PROF]'s office?,[PROF] has office hours in [LOCATION].
What is [PROF]'s email?,[PROF]s email is [PROF_EMAIL].
How can I email [PROF]?,[PROF]s email is [PROF_EMAIL].
What is the email of [PROF]?,[PROF]s email is [PROF_EMAIL].
Is [PROF]'s email listed?,Yes or No.
Is [PROF] a professor at Cal Poly?,Yes or No.
What is professor [PROF]'s first name?,[PROF]s first name is [PROF_NAME]
Does [PROF] currently teach at Cal Poly?, Yes or No.
What is [PROF]'s phone number?,[PROF]s phone number is [PROF_PHONENO]
Does [PROF] have a phone number listed?, Yes or No.
Is there a phone number listed for [PROF]?, Yes or No.
Which courses does [PROF] teach?,[PROF] teaches: [COURSE-NAMES]
Is [PROF] a faculty advisor?,Yes or No.
What are the research interests of [PROF]?,[PROF] is interested in [RESEARCH-AREA-LIST].
What research areas are [PROF] interested in?,[PROF] is interested in [RESEARCH-AREA-LIST].
What is [PROF] researching?,[PROF]'s research interests are [RESEARCH-AREA-LIST]
How good of a professor is [PROF]?,All Cal Poly professors are great, but [PROF] has a PolyRating of [Rating].
Is [PROF] a good professor?,All Cal Poly professors are great, but [PROF] has a PolyRating of [Rating].
Is [PROF] well liked?,[PROF] has a polyrating of [Rating].
Which of [PROF] has the highest polyrating?,[PROF] has the highest PolyRating.
What is the URL for [PROF]'s polyratings?,[PROF]'s PolyRatings page can be found at [URL].
How many courses is [PROF] teaching?,This quarter, [PROF] is teaching [Number] courses.
How many different classes will [PROF] teach next quarter?,Next quarter, [PROF] will teach [Number] different courses.
What courses has [PROF] taught?,In the last year, [PROF] has taught [COURSE].
What courses does [PROF] teach?,In the last year, [PROF] has taught [COURSE]. This quarter, they are teaching [COURSE].
What is [PROF] teaching this quarter?,[PROF] is teaching [COURSE].
Is [PROF] teaching any classes this quarter?,Yes, they are teaching [COURSE]./No.
Where is [PROF] teaching right now?,[PROF] is currently teaching [COURSE] in [Room]./[PROF] is not currently teaching.
Where will [PROF] be teaching next?,[PROF] will be teaching [COURSE] in [Room] at [Time].
Where did [PROF] go to school?,[PROF] attended [University] as an undergraduate and [University] for their [Degree-Type].
What degrees does [PROF] have?,[PROF has a [Degree-List].
What schools has [PROF] attended?,[CSSE has attended [University-List].
Who are the [PROF] in the CSSE program at Cal Poly?,[PROF-List] are the CSSE [Faculty-Type] at Cal Poly.
What school did [PROF] get their degree from?,[PROF] got their [Degree] from [University].
How many degrees does [PROF] have?,[PROF] has [Number] degrees.
How long has [PROF] taught at Cal Poly?,[PROF] has taught at Cal Poly for [Number] years.
What year did [PROF] start at Cal Poly?,[PROF] started teaching at Cal Poly in [Year].
When did [PROF] start teaching at Cal Poly?,[PROF] started teaching at Cal Poly in [Year].
Did [PROF] study at Cal Poly?,Yes./No.
When was [PROF] a professor at Cal Poly?,[PROF] was a professor at Cal Poly from [Date-Range].
What is the highest degree of [PROF]?,[PROF]'s highest degree is [Degree-Type].
Where did [PROF] get their most recent degree?,[PROF] got their most recent degree from [University].
What is [PROF]'s highest degree?,[PROF] got their [Degree-Type] from [University].
Is [PROF] still working at Cal Poly?,Yes./No, they retired in [Year].
Does [PROF] still teach at Cal Poly?,Yes./No, they retired in [Year].
Has there ever been a professor [PROF] in Cal Poly CSSE?,Yes./No.
Did [PROF] ever teach in the computer science department?,Yes./No.
What published research projects does [PROF] have?,[PROF] has published [Paper-List].
How many research papers has [PROF] submitted for Cal Poly?,[PROF] has submitted [Number] papers.
What papers has [PROF] contributed to the Cal Poly Digital Commons?,[PROF] has published [Paper-List].
Has [PROF] published any papers?,Yes, they have published [Paper-List]./No.
What research papers has [PROF] written?,[PROF] has published [Paper-List].
What is the average length of papers published by [PROF]?,[PROF]'s papers are an average of [Number] pages long.
Where can I learn more about [PROF]'s research?,[PROF]'s most recent paper can be found at [URL] and their personal website is [URL].
In what journals has [PROF] been published?,[PROF] has been published in [Journal-List].
What journals has [PROF] published papers in?,[PROF] has been published in [Journal-List].
What is [PROF]'s email?,[PROF]'s email is [PROF_EMAIL].
How can I contact [PROF]?,[PROF]'s email is [PROF_EMAIL] and their phone number is [Phone-Number].
What is [PROF]'s contact information?,[PROF]'s email is [PROF_EMAIL] and their phone number is [Phone-Number].
What is [PROF]'s phone number?,[PROF]'s phone number is [Phone-Number].
What number do I call to reach [PROF]?,[PROF]'s phone number is [Phone-Number].
How can I reach [PROF]?,[PROF]'s email is [PROF_EMAIL] and their phone number is [Phone-Number].
Where is [PROF]'s office?,[PROF]'s office is [LOCATION].
In what room is [PROF]'s office?,[PROF]'s office is [LOCATION].
Where can I find [PROF]'s website?,[PROF]'s website is [URL].
Does [PROF] have a personal website?,[PROF]'s website is [URL].
What is [PROF]'s home page?,[PROF]'s website is [URL].
What is the email address of [PROF]?,[PROF]'s email is [Email].
What is the office of [PROF]?,[PROF]'s office is [LOCATION].
What are the names and emails of all computer science [PROF]?,Their names and emails are: [PROF-Email-List].
Who are the computer science [PROF]s at Cal Poly?,They are [PROF-List].
Who shares an office with [PROF]?,[PROF] shares an office with [PROF].
Does anyone share an office with [PROF]?,Yes, [PROF] shares an office with [PROF]./No.
What time are [PROF]'s office hours?,[PROF]'s office hours are [Office-Hours].
When can I visit [PROF]'s office?,[PROF]'s office hours are [Office-Hours].
Is [PROF] hosting office hours right now?,Yes, until [Time]./No.
Is [PROF] in their office now?,Yes, until [Time]./No.
What is the job title of [PROF]?,[PROF] is a [Faculty-Type].
Is [PROF] a lecturer or a professor?,[PROF] is a [Faculty-Type].
What is the position of [PROF]?,[PROF] is a [Faculty-Type].
What is [PROF]'s job at Cal Poly?,[PROF] is a [Faculty-Type].
In the CSSE department, how many faculty members are [PROF]?,There are [Number] [Faculty-Type]s in the CSSE department.
How many computer science [PROF] are there at Cal Poly?,There are [Number] [Faculty-Type]s in the CSSE department.
Who are the professors with the last name [PROF]?,[PROF-List] have the last name [PROF].
Where is the next place I can find [PROF]?,[PROF] will be in [Room] from [Time] to [Time].
When can I next find [PROF] on campus?,[PROF] will be in [Room] from [Time] to [Time].
What are [PROF]'s personal interests?,[PROF] is interested in [Interests].
What are [PROF]'s professional distinctions?,[PROF]s professional distinctions are [Distinctions]
Where did [PROF] get their BS?,[PROF] recieved their BS at [Univesity].
Which school did [PROF] get their BS at?,[PROF] received their BS at [University].
Which school did [PROF] get their Master's at?,[PROF] received their Master's at [University].
Where did [PROF] get their Master's?,[PROF] received their Master's at [University].
Where did [PROF] get their doctorate?,[PROF] received their doctorate at [University].
Which school did [PROF] get their doctorate at?,[PROF] received their doctorate at [University].
When did [PROF] get their BS?,[PROF] received their BS on [Date].
What year did [PROF] get their BS?,[PROF] received their BS on [Date].
When did [PROF] get their Master's?,[PROF] received their Master's on [Date].
What year did [PROF] get their Master's?,[PROF] received their Master's on [Date].
When did [PROF] get their doctorate?,[PROF] received their doctorate on [Date].
What year did [PROF] get their doctorate?,[PROF] received their doctorate on [Date].
What is [PROF]'s title?,[PROF] has the title of [Title].
What is the title of [PROF]?,[PROF] has the title of [Title].
What is the email of [PROF]?,[PROF]'s email is [PROF-EMAIL].
What is [PROF]'s phone number?,[PROF]'s phone number is [Phone Number].
What is the phone number of [PROF]?,[PROF]'s phone number is [Phone Number].
Where is [PROF]'s office?,[PROF]'s office is in [Room].
What building is [PROF]'s office in?,[PROF]'s office is in [Building].
What time does [PROF] have office hours today?,[PROF] has office hours at [Time].
What days does [PROF] have office hours?,[PROF] has office hours on [Weekdays].
Which professors neighbor [PROF]?,[PROF] neighbor [PROF].
How many professors neighbor [PROF]?,[N] professors neighbor [PROF].
When will [PROF] be at his/her office?,[PROF] will be at their office at [Time].
Is [PROF] at their office right now?,[Boolean].
How many classes is [PROF] teaching this quarter?,[PROF] is teaching [N] classes this quarter.
How many classes is [PROF] teaching next quarter?,[PROF] is teaching [N] classes next quarter.
How many polyratings does [PROF] have?,[PROF] has [N] polyratings.
Does [PROF] recognize student difficulties?,[Boolean].
How well does [PROF] recognize student difficulties?,[PROF] recognizes student difficulties with a [Star] star rating.
Does [PROF] present material clearly?,[Boolean].
How clearly does [PROF] present material?,[PROF] presents material with a [Star] star rating.
What grades has [PROF] given out (on polylearn)?,[PROF] has given out [Grades].
What is the average polyratings grade for [PROF]?,[PROF] has an average polyratings grade of [Grade].
What professional distinctions does [PROF] have?,[PROF] has [Professional Distinctions].
Does [PROF] have any areas of research?,[PROF] is researching [Topic].
What are the Mathematics/Statistics Support Elective options for [MMC],The available Mathematics/Statistics Support Elective options for [MMC] are: [COURSE]
What are the approved technical electives for [MMC],The available approved technical elective options for [MMC] are: [COURSE]
Which courses will count as approved external electives for [MMC],The available approved external elective options for [MMC] are: [COURSE]
Is taking the GRE required for acceptance into the 4+1 program for [MMC]?,No, for [MMC] majors, students do not need to take the General Record Exam.
What classes are availabe to satisfy the pre-requisite technical elective course for [MMC]?,The available technical elective pre-requisite options for [MMC] are: [COURSE]
Which courses will count as approved pre-requisite technical electives for [MMC],The available technical elective pre-requisite options for [MMC] are: [COURSE]
What [MMC] electives are offered next quarter?,The electives being offered for [MMC] next quarter are: [COURSE].
What are the electives being offered for [MMC] next quarter?,The electives being offered for [MMC] next quarter are: [COURSE].
Which electives are offered for [MMC] for next quarter?,The electives being offered for [MMC] next quarter are: [COURSE].
What courses are required for the [MMC] minor?,The required courses for the [MINOR] minor are: [COURSE].
Which courses do I need to take for the [MMC] minor?,The required courses for the [MINOR] minor are: [COURSE].
How many units are required to obtain the 4+1 blended BS/MS degree for [MMC]?,[NUM_UNITS] are required to obtain a BS/MS degree via the 4+1 program for [MMC]
What courses are required for the [MMC] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE].
Which courses do I need to take for the [MMC] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE].
What are the life science support elective options for [MMC],[MMC] requires the following life support courses: [COURSE]
What are the support course options for [MMC]?,[MMC] requires the following support courses: [COURSE]
Which courses are part of the [MMC]?,[CONCENTRATION] has the following courses: [COURSE].
Which courses are optional for [MMC]?,The following courses are optional for [MINOR]: [COURSE].
Which courses in [MMC] can I skip through AP Credit?,The following AP exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N].
Which courses in [MMC] can I skip through IB Credit?,The following IB exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N].
Which minor or concentration adds the least amount of graduation time to the [MMC]?,[MINOR/CONCENTRATION] adds only [NUMERIC] extra units to [MMC], assuming that you double-count as many classes as possible.
How many general education courses do I need to take for the [MMC] major?,In order to complete the [MMC] major, you will need to take [NUM_COURSES] general education courses.
How many support courses do I need to take for the [MMC] major?,In order to complete the [MMC] major, you will need to take [NUM_COURSES] courses.
