formula helper 1,,,uncategorized,,"README                
the formula helpers work by                 
* matching strings in green        
* explicitly-NOT-matching strings in RED 
      which start with ""~""        

Note: use ""NA_HELPER"" instead of """"                
  because SEARCH("""",""hello"") returns 1                ",,,"""match course""",course,MMC,major,prof,minor,concentration,department,time,date,ge_area,term,number,club,tutoring,topics,rating,requirement,building,,course,MMC,prof,,,
22,22,F2,,,,,What are the all [COURSE_LEVEL] hundred level courses for [MAJOR] being offered next quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] next quarter are: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE_LEVEL],NA,[MMC],NA,[MAJOR],,
23,23,F2,,,,,How many units are required to obtain the 4+1 blended BS/MS degree for [MAJOR]?,[NUM_UNITS] are required to obtain a BS/MS degree via the 4+1 program for [MAJOR],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
24,24,F2,,,,,What courses are required for the [CONCENTRATION] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].,NA,[MMC],NA,NA,NA,[CONCENTRATION],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CONCENTRATION],NA,NA,NA,,,
25,25,F2,,,,,Which courses do I need to take for the [CONCENTRATION] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].,NA,[MMC],NA,NA,NA,[CONCENTRATION],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CONCENTRATION],NA,NA,NA,,,
26,26,F2,,,,,What are the life science support elective options for [MAJOR],[MAJOR] requires the following life support courses: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
27,27,F2,,,,,What are the support course options for [MAJOR]?,[MAJOR] requires the following support courses: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
28,28,F2,,,,,Which courses can I take after taking [COURSE] for the [MAJOR]?,"After taking [COURSE], you may take any of [COURSE_LIST]",[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,[MMC],NA,[MAJOR],,
29,29,F2,,,,,Which [COURSE_LEVEL] hundred level courses are part of the [MAJOR] major?,[MAJOR] has the following [COURSE_LEVEL]-hundred level courses: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE_LEVEL],NA,[MMC],NA,[MAJOR],,
30,30,F2,,,,,Which [COURSE_LEVEL] hundred level courses are part of the [MINOR]?,[MINOR] has the following [COURSE_LEVEL]-hundred level courses: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE_LEVEL],NA,[MMC],NA,[MINOR],,
31,31,F2,,,,,Which courses are part of the [CONCENTRATION]?,[CONCENTRATION] has the following courses: [COURSE_LIST].,NA,[MMC],NA,NA,NA,[CONCENTRATION],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CONCENTRATION],NA,NA,NA,,,
32,32,F2,,,,,Which courses are optional for [MINOR]?,The following courses are optional for [MINOR]: [COURSE_LIST].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,NA,NA,,,
33,33,F2,,,,,How many courses in [MINOR] overlap with [MAJOR]?,There are [NUMERIC] courses in common between the [MAJOR] and the [MINOR]. These are: [COURSE_LIST],NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,[MMC],NA,[MAJOR],,
34,34,F2,,,,,Which courses are taught after [TIME] for [MAJOR] on [WEEKDAY] this quarter?,The following courses are taught after [TIME] on [WEEKDAY] this quarter: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,NA,[TIME],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[TIME],NA,[MMC],NA,[MAJOR],[WEEKDAY],
35,35,F2,,,,,Which courses are taught after [TIME] for [MAJOR] on [WEEKDAY] next quarter?,The following courses are taught after [TIME] on [WEEKDAY] next quarter: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,NA,[TIME],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[TIME],NA,[MMC],NA,[MAJOR],[WEEKDAY],
36,36,F2,,,,,Which courses in [MAJOR] can I skip through AP Credit?,"The following AP exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N].",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
37,37,F2,,,,,Which courses in [MAJOR] can I skip through IB Credit?,"The following IB exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N].",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
38,38,F2,,,,,Which majors require [COURSE]?,[MAJOR_LIST] all require [COURSE],[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
39,39,F2,,,,,Which majors avoid [COURSE]?,[MAJOR_LIST] all do not require [COURSE],[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
40,40,F2,,,,,Which minor or concentration adds the least amount of graduation time to the [MAJOR]?,"[MINOR/CONCENTRATION] adds only [NUMERIC] extra units to [MAJOR], assuming that you double-count as many classes as possible.",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
41,41,F2,,,,,How many [CLASS_LEVEL] courses will be taught this quarter?,There will be [NUM_COURSES] being taught this quarter. They are: [COURSE_LIST],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CLASS_LEVEL],NA,NA,NA,,,
42,42,F2,,,,,How many [CLASS_LEVEL] courses will be taught next quarter?,There will be [NUM_COURSES] being taught next quarter. They are: [COURSE_LIST],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CLASS_LEVEL],NA,NA,NA,,,
43,43,F2,,,,,How many general education courses do I need to take for the [MAJOR] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] general education courses.",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
44,44,F2,,,,,How many support courses do I need to take for the [MAJOR] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] courses.",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
45,45,F2,,,,,What are the sections times for [COURSE] next quarter?,There are [NUM_SECTIONS] sections [COURSE] next quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
46,46,F2,,,,,What are the sections times for [COURSE] this quarter?,There are [NUM_SECTIONS] sections for [COURSE] this quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
47,47,F2,,,,,How many sections of [COURSE] are being offered this quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered this quarter.,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
48,48,F2,,,,,How many sections of [COURSE] are being offered next quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered next quarter.,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
49,49,F2,,,,,What is the units break down for [MAJOR] major?,"You need [NUM_UNITS] major units, [NUM_UNITS] GE units, [NUM_UNITS] support units, [NUM_UNITS] life science support elective units, ..., [NUM_UNITS] free elective units",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
50,50,F2,,,,,How many GE units do I need for the [MAJOR] major?,You need [NUM_UNITS] GE units to complete the [MAJOR] major.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
51,51,F2,,,,,How many support units do I need for the [MAJOR] major?,You need [NUM_UNITS] support units to complete the [MAJOR] major.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
52,52,F2,,,,,How many units do I need for the [MAJOR] major?,You need [NUM_UNITS] units to complete the [MAJOR] major.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
53,53,F2,,,,,"In order to complete the [MAJOR] major, how many units will I need?",You need [NUM_UNITS] units to complete the [MAJOR] major.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
54,54,F2,,,,,How many units do I need for the [MINOR] minor?,You need [NUM_UNITS] units to complete the [MINOR] minor.,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,NA,NA,,,
55,55,F2,,,,,What is the average grade for [CLASS] taught by [PROF] according to polyratings?,The average grade for [CLASS] taught by [PROF] is [GRADE],[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CLASS],NA,NA,[PROF],[PROF],,
56,56,F2,,,,,How many courses is [PROF] teaching?,[PROF] is teaching [NUMERIC] classes. He will be teaching [COURSE_LIST],NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],NA,NA,NA,,,
57,57,F2,,,,,How many units does the [MAJOR] require?,The [MAJOR] requires [NUMERIC] units to graduate.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
58,58,F2,,,,,How many extra quarters would [MINOR] add to the [MAJOR]?,"If you try to double-count as many courses as possible, [MINOR] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, [MINOR] would add [NUMERIC_2] extra quarters to [MAJOR].",NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,[MMC],NA,[MAJOR],,
59,59,F2,,,,,How many classes per quarter do I have to take for [MAJOR]?,"To finish the [MAJOR] in 4 years, you must average [NUMERIC] classes per quarter.",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
60,60,F2,,,,,"If I take the [MAJOR] with the [MINOR], how long would it take me to graduate?","If you try to double-count as many courses as possible, [MINOR] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, [MINOR] would add [NUMERIC_2] extra quarters to [MAJOR].",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,[MMC],NA,[MINOR],,
61,61,F2,,,,,"If I take the [MAJOR] with the [MINOR] and the [CONCENTRATION], how long would it take me to graduate?","If you try to double-count as many courses as possible, [MINOR] and [CONCENTRATION] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, they would add [NUMERIC_2] extra quarters to [MAJOR].",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,[MMC],NA,[MINOR],[CONCENTRATION],
62,62,F2,,,,,How many units from [CLASS_TYPE] do I need for [MAJOR]?,[MAJOR] requires [NUMERIC] units of [CLASS_TYPE],[COURSE],NA,NA,NA,NA,NA,[DEPARTMENT],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CLASS_TYPE],NA,[MMC],NA,[MAJOR],,
63,63,F2,,,,,How many concentrations are there in [MAJOR]?,There are [NUMERIC] concentrations in [MAJOR]. They are: [CONCENTRATION_LIST].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
64,64,F2,,,,,What is the minimum score I need on the [EXAM] to get credit for [COURSE]?,The minimum score to receive credit for [COURSE] through the [EXAM] is [NUMERIC].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[EXAM],[COURSE],NA,NA,[COURSE],,
65,65,F2,,,,,How many courses do I need to take per quarter to get a degree in [MAJOR] within [NUMERIC] years?,"To complete [MAJOR] in [NUMERIC_1] years, you must take an average of [NUMERIC_2] classes per quarter.",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,[NUMERIC],,
66,66,F2,,,,,"If I already have [NUMERIC] units, how many quarters would it take me to complete [MAJOR]?","Assuming you average 4 classes per quarter, it would take you [NUMERIC] more quarters to finish [MAJOR].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[NUMBER],NA,NA,NA,NA,NA,NA,[NUMERIC],NA,[MMC],NA,[MAJOR],,
67,67,F2,,,,,How many units does [COURSE] count towards?,[COURSE] counts as [NUMERIC] units.,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
68,68,F2,,,,,How many courses are required for [MINOR]?,[MINOR] requires [NUMERIC] courses. They are:  [COURSE_LIST].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,NA,NA,,,
69,69,F2,,,,,How many [DEPARTMENT] courses does [MAJOR] require?,[MAJOR] requires [NUMERIC] courses from the [DEPARTMENT]: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,[DEPARTMENT],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[DEPARTMENT],NA,[MMC],NA,[MAJOR],,
70,70,F2,,,,,Which [PROF] is best for [COURSE]?,[PROF] has the highest Polyrating out of all instructors for [COURSE],NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],[COURSE],NA,NA,[COURSE],,
71,71,F2,,,,,When is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
72,72,F2,,,,,During what quarters is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
73,73,F2,,,,,When do people typically take [COURSE] for the [MAJOR]?,Students in [MAJOR] typically take [COURSE] between [QUARTER_1] and [QUARTER_2],[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,[MMC],NA,[MAJOR],,
74,74,F2,,,,,Is [PROF] teaching [COURSE] this quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] this quarter.",NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],[COURSE],NA,NA,[COURSE],,
75,75,F2,,,,,Is [PROF] teaching [COURSE] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter.",NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],[COURSE],NA,NA,[COURSE],,
